Aika;Alue;val
2020-03-09;Helsingin ja Uudenmaan SHP;10
2020-03-10;Helsingin ja Uudenmaan SHP;25
2020-03-11;Helsingin ja Uudenmaan SHP;44
2020-03-12;Helsingin ja Uudenmaan SHP;35
2020-03-13;Helsingin ja Uudenmaan SHP;19
2020-03-14;Helsingin ja Uudenmaan SHP;15
2020-03-15;Helsingin ja Uudenmaan SHP;48
Vuosi 2020 Viikko 11;Helsingin ja Uudenmaan SHP;196
